epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,90.7845,0.98587,0.85526,1.41923,0.65563,0.53203,0.60246,0.21073,2.04946,2.1293,2.85814,0.00150692,0.00150692,0.00150692
99,91.6518,1.03616,0.91064,1.48157,0.66469,0.575,0.57812,0.26229,1.73258,2.00376,2.56916,0.00150527,0.00150527,0.00150527
100,92.5156,0.93274,0.84415,1.38478,0.79851,0.7635,0.78749,0.39955,1.65561,1.28699,2.66955,0.00150362,0.00150362,0.00150362
101,93.391,1.00214,0.89608,1.47396,0.87802,0.8,0.88522,0.51698,1.51492,1.08099,2.41041,0.00150197,0.00150197,0.00150197
102,94.5217,0.9399,0.83647,1.41531,0.82321,0.7,0.83517,0.46147,1.6209,1.12791,2.46335,0.00150032,0.00150032,0.00150032
103,95.3993,0.96899,0.88036,1.45115,0.88256,0.66583,0.89425,0.45761,1.65281,1.15479,2.5036,0.00149867,0.00149867,0.00149867
104,96.275,0.91993,0.83943,1.38204,0.683,0.82032,0.84456,0.42801,1.68641,1.15464,2.55385,0.00149702,0.00149702,0.00149702
105,97.1395,0.9323,0.82199,1.45146,0.87348,0.84963,0.93835,0.4782,1.75455,0.94372,2.60633,0.00149537,0.00149537,0.00149537
106,98.0017,1.014,0.8913,1.50656,0.87564,0.77866,0.88822,0.43702,1.69949,1.03934,2.50392,0.00149372,0.00149372,0.00149372
107,99.1186,0.86261,0.77001,1.32617,0.89861,0.71928,0.86183,0.41477,1.82366,1.21024,2.49751,0.00149207,0.00149207,0.00149207
108,99.9836,0.91316,0.76558,1.375,0.89798,0.775,0.8801,0.43943,1.75477,1.10493,2.49623,0.00149041,0.00149041,0.00149041
109,100.844,0.9683,0.77344,1.4889,0.81655,0.775,0.84664,0.4206,1.78422,1.17277,2.5632,0.00148876,0.00148876,0.00148876
110,101.713,0.90526,0.74617,1.36515,0.74862,0.73729,0.83378,0.37657,1.81545,1.27141,2.61356,0.00148711,0.00148711,0.00148711
111,102.582,0.92437,0.86286,1.3996,0.78036,0.81451,0.87809,0.41864,1.77412,1.05529,2.55892,0.00148546,0.00148546,0.00148546
